active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
1,128,0,"[128, 512, 512]",1024,22641.12,141.12,0.14,83.55,0.42,240,320,4,273.333,210.778,14610.556,441.111,191.0,61.778,15726.778,"[754, 577, 228, 443, 577]","[754, 577, 228, 443, 577]"
1,128,1,"[128, 512, 512]",1024,141.12,158.96,0.16,83.55,0.44,240,320,4,274.556,210.111,16514.444,430.556,192.667,62.889,17622.333,"[1, 614, 319, 602, 306]","[1, 614, 319, 602, 306]"
1,128,2,"[128, 512, 512]",1024,158.96,613.29,0.6,83.55,0.88,240,320,4,274.444,211.0,65518.333,430.778,191.889,63.333,66626.444,"[690, 690, 690, 515, 515]","[690, 690, 690, 515, 515]"
1,128,3,"[128, 512, 512]",1024,613.29,875.62,0.86,83.55,1.14,240,320,4,274.556,211.556,93714.444,439.556,192.444,63.667,94832.556,"[382, 695, 548, 638, 438]","[382, 695, 548, 638, 438]"
1,128,0,"[128, 512, 512]",512,875.62,71.12,0.07,81.55,0.35,240,320,4,274.556,211.778,7364.889,224.667,98.778,32.667,8174.667,"[451, 451, 451, 189, 451]","[451, 451, 451, 189, 451]"
1,128,1,"[128, 512, 512]",512,71.12,88.96,0.09,81.55,0.37,240,320,4,274.556,210.556,9261.889,223.222,97.889,33.0,10068.111,"[252, 79, 78, 248, 305]","[252, 79, 78, 248, 305]"
1,128,2,"[128, 512, 512]",512,88.96,351.29,0.34,81.55,0.63,240,320,4,273.556,209.889,37427.333,225.333,97.333,32.333,38233.444,"[48, 48, 48, 168, 103]","[48, 48, 48, 168, 103]"
1,128,3,"[128, 512, 512]",512,351.29,613.62,0.6,81.55,0.88,240,320,4,273.556,210.444,65615.0,224.556,96.667,31.889,66420.222,"[490, 504, 504, 504, 336]","[490, 504, 504, 504, 336]"
1,128,0,"[128, 512, 512]",256,613.62,36.12,0.04,80.55,0.32,240,320,4,271.889,210.222,3738.111,113.889,50.0,16.889,4384.111,"[68, 31, 189, 178, 31]","[68, 31, 189, 178, 31]"
1,128,1,"[128, 512, 512]",256,36.12,53.96,0.05,80.55,0.34,240,320,4,270.778,211.667,5625.333,114.889,50.0,16.778,6272.667,"[6, 72, 126, 33, 72]","[6, 72, 126, 33, 72]"
1,128,2,"[128, 512, 512]",256,53.96,220.29,0.22,80.55,0.5,240,320,4,272.222,209.778,23383.0,114.333,50.111,16.667,24029.444,"[6, 6, 6, 6, 6]","[6, 6, 6, 6, 6]"
1,128,3,"[128, 512, 512]",256,220.29,482.62,0.47,80.55,0.75,240,320,4,271.778,210.222,51564.667,111.111,50.111,16.778,52207.889,"[101, 243, 157, 243, 240]","[101, 243, 157, 243, 240]"
1,128,0,"[128, 512, 512]",128,482.62,18.62,0.02,80.05,0.3,240,320,4,271.778,210.111,1925.889,59.111,26.333,9.556,2493.222,"[21, 108, 1, 115, 13]","[21, 108, 1, 115, 13]"
1,128,1,"[128, 512, 512]",128,18.62,36.46,0.04,80.05,0.32,240,320,4,271.778,210.222,3813.222,60.333,26.111,9.333,4381.667,"[26, 1, 45, 109, 45]","[26, 1, 45, 109, 45]"
1,128,2,"[128, 512, 512]",128,36.46,154.79,0.15,80.05,0.43,240,320,4,272.111,210.0,16356.333,60.111,26.222,9.222,16924.778,"[42, 38, 108, 42, 42]","[42, 38, 108, 42, 42]"
1,128,3,"[128, 512, 512]",128,154.79,417.12,0.41,80.05,0.69,240,320,4,272.111,212.111,44537.333,61.444,28.667,10.444,45111.667,"[97, 97, 97, 97, 97]","[97, 97, 97, 97, 97]"
1,128,0,"[128, 512, 512]",64,417.12,9.88,0.01,79.8,0.29,240,320,4,271.667,211.0,1020.889,33.556,14.111,5.667,1551.222,"[17, 60, 11, 17, 11]","[17, 60, 11, 17, 11]"
1,128,1,"[128, 512, 512]",64,9.88,27.71,0.03,79.8,0.31,240,320,4,271.0,211.333,2905.889,33.778,14.333,5.667,3436.333,"[45, 31, 31, 31, 45]","[45, 31, 31, 31, 45]"
1,128,2,"[128, 512, 512]",64,27.71,122.04,0.12,79.8,0.4,240,320,4,271.778,211.556,12846.667,33.778,14.333,5.778,13378.111,"[35, 4, 20, 20, 20]","[35, 4, 20, 20, 20]"
1,128,3,"[128, 512, 512]",64,122.04,384.37,0.38,79.8,0.66,240,320,4,271.556,208.778,41025.333,33.444,14.444,5.889,41553.556,"[52, 52, 1, 2, 52]","[52, 52, 1, 2, 52]"
