timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
23-10-25--21:11,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,2,0,1536,0,32,48 192 192,1024,4,0.001,200,200,0.000,-1125240.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.232,1.772796,0.219660,0.218430,0.000000,"[542, 542, 539, 543, 541]","[539, 539, 540, 540, 540]","([539, 539, 540, 539, 540],)","[0, 0, 0, 0, 0]"
23-10-25--21:56,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,0,0,1536,1,32,48 192 192,1024,4,0.001,200,200,53.703,0.192,180.000,128.000,0.500,nucleo-f446ze-o3                        ,70.628,70.000,74.000,1.175,339.662,340.000,340.000,0.537,362.964,363.000,365.000,0.954,13161.211,13162.000,13181.000,13.607,63.421,63.000,64.000,0.494,75.878,76.000,76.000,0.398,57.572,58.000,58.000,0.507,13710.801,13712.000,13730.000,13.552,13581.749,13583.000,13601.000,13.729,1.789,1.710,1.772796,1.684719,1.682514,1.682514,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
23-10-25--22:54,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,0,0,1536,1,32,48 192 192,1024,4,0.001,200,200,55.703,0.191,180.000,128.000,0.500,nucleo-f446ze-o3                        ,69.007,69.000,70.000,0.555,340.545,340.000,342.000,0.657,363.121,363.000,365.000,0.874,13164.445,13163.000,13184.000,11.278,63.436,63.000,64.000,0.496,75.916,76.000,76.000,0.573,57.605,58.000,58.000,0.542,13713.349,13712.000,13733.000,11.263,13585.172,13584.000,13604.000,11.338,1.789,1.710,1.772796,1.684719,1.682514,1.682514,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
23-10-25--23:34,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,0,0,1536,2,32,48 192 192,1024,4,0.001,200,200,55.703,0.346,180.000,128.000,0.500,nucleo-f446ze-o3                        ,69.021,69.000,70.000,0.581,340.558,341.000,342.000,0.669,363.117,363.000,365.000,0.873,29360.942,29360.000,29381.000,12.166,63.422,63.000,64.000,0.494,75.920,76.000,76.000,0.587,57.614,58.000,58.000,0.541,29909.861,29909.000,29930.000,12.129,29781.671,29781.000,29802.000,12.196,1.789,1.774,1.772796,1.748807,1.749823,1.749721,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--00:14,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,0,0,1536,3,32,48 192 192,1024,4,0.001,200,200,55.703,0.387,180.000,128.000,0.500,nucleo-f446ze-o3                        ,68.016,68.000,69.000,0.568,339.546,339.000,341.000,0.653,362.112,362.000,364.000,0.871,33257.665,33257.000,33278.000,11.901,62.435,62.000,63.000,0.496,74.933,75.000,75.000,0.561,56.602,57.000,57.000,0.543,33802.595,33802.000,33823.000,11.867,33676.380,33675.000,33697.000,11.908,1.789,1.769,1.772796,1.752979,1.754283,1.754138,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
24-10-25--00:15,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,2,0,1536,1,8,192 768 768,1024,4,0.001,200,200,0.000,-49624.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.773,1.772796,1.754541,1.753373,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
24-10-25--00:16,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,2,0,1536,2,8,192 768 768,1024,4,0.001,200,200,0.000,-808864.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.772796,1.767524,1.767001,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
24-10-25--00:17,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,2,0,1536,3,8,192 768 768,1024,4,0.001,200,200,0.000,-1420656.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.781,1.772796,1.765569,1.765169,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
24-10-25--00:19,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,2,0,1536,1,1,1536 6144 6144,1024,4,0.001,200,200,0.000,-3527896.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.785,1.772796,1.767044,1.764995,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
24-10-25--00:20,_seed0_grid1200_M3232_Mbar12_30000_ep200,64,2,0,1536,2,1,1536 6144 6144,1024,4,0.001,200,200,0.000,-17856160.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.783,1.772796,1.767321,1.767366,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
