timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
26-10-25--09:59,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,2,0,1536,0,32,48 192 192,4096,4,0.001,200,200,0.000,-2355544.000,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.021,0.384,5.067016,0.425171,0.426650,0.000000,"[2037, 2103, 2102, 2036, 2107]","[2104, 2103, 2105, 2167, 2102]","([2104, 2102, 2101, 2168, 2102],)","[0, 0, 0, 0, 0]"
26-10-25--09:59,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,2,0,1536,0,32,48 192 192,4096,4,0.001,200,200,0.000,-2355712.000,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.021,0.384,5.067016,0.425171,0.426650,0.000000,"[2037, 2103, 2102, 2036, 2107]","[2104, 2103, 2105, 2167, 2102]","([2104, 2102, 2101, 2168, 2102],)","[0, 0, 0, 0, 0]"
26-10-25--10:16,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,0,1536,1,32,48 192 192,4096,4,0.001,200,200,129.531,0.643,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,393.263,393.000,398.000,3.212,895.655,896.000,897.000,1.307,1261.515,1261.000,1267.000,3.057,31833.965,31834.000,31836.000,1.912,1615.134,1614.000,1694.000,52.910,779.632,780.000,786.000,4.072,241.325,241.000,245.000,1.700,35517.648,35517.000,35592.000,51.071,33336.804,33337.000,33343.000,3.725,5.021,4.602,5.067016,4.592761,4.575330,4.577304,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2036, 2107]","([2037, 2103, 2102, 2036, 2107],)","[2037, 2103, 2102, 2036, 2107]"
26-10-25--10:17,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,1,1536,1,32,48 192 192,4096,4,0.001,200,200,129.531,0.644,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.021,4.602,5.067016,4.592761,4.575330,0.000000,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2036, 2107]","([2037, 2103, 2102, 2036, 2107],)","[0, 0, 0, 0, 0]"
26-10-25--10:35,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,0,1536,2,32,48 192 192,4096,4,0.001,200,200,129.531,1.220,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,393.317,393.000,398.000,3.193,895.584,896.000,897.000,1.376,1261.456,1261.000,1267.000,3.018,95444.398,95444.000,95448.000,2.953,1620.034,1611.000,1706.000,45.015,781.702,782.000,791.000,5.585,241.404,241.000,245.000,1.738,99135.041,99129.000,99213.000,41.753,96947.265,96947.000,96954.000,4.479,5.021,4.239,5.067016,4.212269,4.216962,4.217260,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2100, 2107]","([2037, 2103, 2102, 2036, 2107],)","[2037, 2103, 2102, 2036, 2107]"
26-10-25--10:36,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,1,1536,2,32,48 192 192,4096,4,0.001,200,200,129.531,1.221,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.021,4.239,5.067016,4.212269,4.216962,0.000000,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2100, 2107]","([2037, 2103, 2102, 2036, 2107],)","[0, 0, 0, 0, 0]"
26-10-25--10:54,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,0,1536,3,32,48 192 192,4096,4,0.001,200,200,129.531,1.261,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,393.281,393.000,398.000,3.186,895.613,896.000,897.000,1.372,1261.550,1261.000,1267.000,3.080,99773.099,99773.000,99777.000,3.273,1570.902,1570.000,1672.000,51.240,780.901,781.000,787.000,3.971,241.371,241.000,245.000,1.704,103413.798,103414.000,103507.000,49.369,101276.022,101276.000,101283.000,4.480,5.021,4.873,5.067016,4.888432,4.895759,4.892572,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2036, 2107]","([2037, 2103, 2102, 2036, 2107],)","[2037, 2103, 2102, 2036, 2107]"
26-10-25--10:55,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,1,1536,3,32,48 192 192,4096,4,0.001,200,200,129.531,1.261,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.021,4.873,5.067016,4.888432,4.895759,0.000000,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2036, 2107]","([2037, 2103, 2102, 2036, 2107],)","[0, 0, 0, 0, 0]"
26-10-25--11:12,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,0,1536,1,8,192 768 768,4096,4,0.001,200,200,129.531,1.421,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,393.252,393.000,399.000,3.226,895.565,896.000,897.000,1.404,1261.554,1261.000,1267.000,3.031,117870.729,117871.000,117874.000,3.142,1579.829,1572.000,1676.000,49.314,781.728,782.000,789.000,4.188,241.349,241.000,245.000,1.686,121521.092,121515.000,121614.000,47.910,119373.621,119373.000,119381.000,4.428,5.021,4.777,5.067016,4.821245,4.813500,4.820944,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2036, 2107]","([2037, 2103, 2102, 2036, 2107],)","[2037, 2103, 2102, 2036, 2107]"
26-10-25--11:13,_seed0_grid1200_M6464_Mbar12_30000_ep200,64,0,1,1536,1,8,192 768 768,4096,4,0.001,200,200,129.531,1.421,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.021,4.777,5.067016,4.821245,4.813500,0.000000,"[2037, 2103, 2102, 2036, 2107]","[2037, 2103, 2102, 2036, 2107]","([2037, 2103, 2102, 2036, 2107],)","[0, 0, 0, 0, 0]"
