timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
27-10-25--19:15,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,2,0,1024,0,32,32 128 128,4096,4,0.001,200,200,0.000,-2320560.000,133.000,256.000,2.000,pico-o3                                 ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.065,5.048,5.053626,5.037894,5.038032,0.000000,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[0, 0, 0, 0, 0]"
27-10-25--19:15,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,2,0,1024,0,32,32 128 128,4096,4,0.001,200,200,0.000,-2320832.000,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.065,5.048,5.053626,5.037894,5.038032,0.000000,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[0, 0, 0, 0, 0]"
27-10-25--19:29,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,0,1024,1,32,32 128 128,4096,4,0.001,200,200,165.500,0.355,133.000,256.000,2.000,pico-o3                                 ,743.675,747.000,755.000,9.233,1115.182,1117.000,1125.000,7.605,1780.436,1782.000,1791.000,8.122,47215.301,47215.000,47264.000,29.601,3814.955,3814.000,4026.000,136.306,2024.031,2026.000,2033.000,7.790,293.188,290.000,311.000,8.428,54913.231,54915.000,55133.050,138.611,49289.011,49290.000,49342.000,33.194,5.065,5.048,5.053626,5.037894,5.038032,3.844914,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[2171, 2108, 2102, 2109, 2170]"
27-10-25--19:29,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,1,1024,1,32,32 128 128,4096,4,0.001,200,200,165.500,0.355,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.065,5.048,5.053626,5.037894,5.038032,0.000000,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[0, 0, 0, 0, 0]"
27-10-25--19:43,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,0,1024,2,32,32 128 128,4096,4,0.001,200,200,165.500,0.738,133.000,256.000,2.000,pico-o3                                 ,743.638,747.000,755.000,9.209,1115.533,1117.000,1126.000,7.371,1780.663,1782.000,1791.000,8.033,141404.680,141406.000,141469.000,39.907,3775.253,3772.000,3989.050,105.868,2026.398,2029.000,2036.000,7.830,293.222,290.000,311.000,8.564,149065.848,149063.000,149273.050,113.196,143478.912,143480.000,143545.000,41.331,5.065,5.048,5.053626,5.037894,5.038032,4.217418,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[2171, 2108, 2102, 2110, 2170]"
27-10-25--19:44,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,1,1024,2,32,32 128 128,4096,4,0.001,200,200,165.500,0.738,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.065,5.048,5.053626,5.037894,5.038032,0.000000,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[0, 0, 0, 0, 0]"
27-10-25--19:58,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,0,1024,3,32,32 128 128,4096,4,0.001,200,200,165.500,0.757,133.000,256.000,2.000,pico-o3                                 ,744.067,747.000,755.000,9.122,1115.543,1117.000,1125.050,7.297,1780.691,1783.000,1791.000,8.030,145631.655,145632.000,145700.000,42.168,3775.270,3773.000,3967.000,92.656,2026.128,2028.000,2036.000,7.902,292.983,289.000,311.000,8.322,153292.460,153289.000,153472.150,101.365,147705.127,147705.000,147776.050,43.842,5.065,5.048,5.053626,5.037894,5.038032,4.554407,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[2171, 2108, 2102, 2110, 2169]"
27-10-25--19:59,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,1,1024,3,32,32 128 128,4096,4,0.001,200,200,165.500,0.758,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.065,5.048,5.053626,5.037894,5.038032,0.000000,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[0, 0, 0, 0, 0]"
27-10-25--20:12,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,0,1024,1,8,128 512 512,4096,4,0.001,200,200,165.500,0.827,133.000,256.000,2.000,pico-o3                                 ,744.327,748.000,756.000,9.655,1116.718,1118.000,1127.000,7.651,1782.114,1784.000,1793.000,8.449,163565.762,163565.000,163637.000,44.120,3710.516,3690.000,3935.000,109.119,2026.856,2029.000,2036.000,7.991,293.415,290.000,312.000,8.855,171164.269,171147.000,171387.050,115.756,165641.381,165641.000,165716.000,46.055,5.065,5.048,5.053626,5.037894,5.038032,4.305667,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[2171, 2108, 2102, 2110, 2169]"
27-10-25--20:13,_seed0_grid1200_M6464_Mbar8_30000_ep200,64,0,1,1024,1,8,128 512 512,4096,4,0.001,200,200,165.500,0.827,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.065,5.048,5.053626,5.037894,5.038032,0.000000,"[2171, 2108, 2102, 2110, 2170]","[2171, 2108, 2102, 2110, 2170]","([2171, 2108, 2102, 2110, 2170],)","[0, 0, 0, 0, 0]"
