active_cell,input_dim,num_layers,hidden_units_list,output_dim,model_h_size_int8_kb,model_file_size_int8_kb,model_file_size_int8_mb,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,avg_normalize_input_us,avg_quantize_input_us,avg_interpreter_invoke_us,avg_dequantize_output_us,avg_extract_codebook_index_us,avg_extract_codebook_index_fast_us,tot_latency_us,extract_codebook_index_list[0:5],extract_codebook_index_fast_list[0:5]
1,128,0,"[128, 512, 512]",1024,613.29,141.12,0.14,51.55,0.42,240,320,4,273.556,210.667,14610.111,440.667,191.333,61.889,15726.333,"[754, 577, 228, 443, 577]","[754, 577, 228, 443, 577]"
1,128,1,"[128, 512, 512]",1024,141.12,158.96,0.16,51.55,0.44,240,320,4,273.667,209.222,16513.111,429.667,191.556,62.0,17617.222,"[1, 614, 319, 602, 306]","[1, 614, 319, 602, 306]"
1,128,2,"[128, 512, 512]",1024,158.96,613.29,0.6,51.55,0.88,240,320,4,274.778,211.667,65518.444,430.556,191.889,62.778,66627.333,"[690, 690, 690, 515, 515]","[690, 690, 690, 515, 515]"
1,128,3,"[128, 512, 512]",1024,613.29,875.62,0.86,51.55,1.14,240,320,4,274.0,210.556,93713.667,438.444,191.667,63.222,94828.333,"[382, 695, 548, 638, 438]","[382, 695, 548, 638, 438]"
1,128,0,"[128, 512, 512]",512,875.62,71.12,0.07,49.55,0.35,240,320,4,273.444,210.444,7364.111,223.778,98.0,31.778,8169.778,"[451, 451, 451, 189, 451]","[451, 451, 451, 189, 451]"
1,128,1,"[128, 512, 512]",512,71.12,88.96,0.09,49.55,0.37,240,320,4,273.333,209.667,9260.889,222.444,96.778,32.0,10063.111,"[252, 79, 78, 248, 305]","[252, 79, 78, 248, 305]"
1,128,2,"[128, 512, 512]",512,88.96,351.29,0.34,49.55,0.63,240,320,4,273.556,210.667,37427.0,225.556,97.111,32.0,38233.889,"[48, 48, 48, 168, 103]","[48, 48, 48, 168, 103]"
1,128,3,"[128, 512, 512]",512,351.29,613.62,0.6,49.55,0.88,240,320,4,274.0,210.889,65615.889,224.667,96.444,32.0,66421.889,"[490, 504, 504, 504, 336]","[490, 504, 504, 504, 336]"
1,128,0,"[128, 512, 512]",256,613.62,36.12,0.04,48.55,0.32,240,320,4,273.0,211.222,3738.889,114.889,51.111,17.556,4389.111,"[68, 31, 189, 178, 31]","[68, 31, 189, 178, 31]"
1,128,1,"[128, 512, 512]",256,36.12,53.96,0.05,48.55,0.34,240,320,4,270.667,211.444,5625.111,114.444,49.778,16.778,6271.444,"[6, 72, 126, 33, 72]","[6, 72, 126, 33, 72]"
1,128,2,"[128, 512, 512]",256,53.96,220.29,0.22,48.55,0.5,240,320,4,272.333,209.667,23383.0,114.556,49.889,16.667,24029.444,"[6, 6, 6, 6, 6]","[6, 6, 6, 6, 6]"
1,128,3,"[128, 512, 512]",256,220.29,482.62,0.47,48.55,0.75,240,320,4,271.667,210.222,51565.222,111.111,50.111,16.778,52208.333,"[101, 243, 157, 243, 240]","[101, 243, 157, 243, 240]"
1,128,0,"[128, 512, 512]",128,482.62,18.62,0.02,48.05,0.3,240,320,4,272.667,211.0,1926.778,60.111,27.222,10.667,2497.778,"[21, 108, 1, 115, 13]","[21, 108, 1, 115, 13]"
1,128,1,"[128, 512, 512]",128,18.62,36.46,0.04,48.05,0.32,240,320,4,272.0,210.333,3813.222,60.444,26.222,9.222,4382.222,"[26, 1, 45, 109, 45]","[26, 1, 45, 109, 45]"
1,128,2,"[128, 512, 512]",128,36.46,154.79,0.15,48.05,0.43,240,320,4,271.556,210.778,16356.333,60.222,26.444,9.444,16925.333,"[42, 38, 108, 42, 42]","[42, 38, 108, 42, 42]"
1,128,3,"[128, 512, 512]",128,154.79,417.12,0.41,48.05,0.69,240,320,4,270.778,211.0,44536.556,60.444,27.444,9.222,45106.222,"[97, 97, 97, 97, 97]","[97, 97, 97, 97, 97]"
1,128,0,"[128, 512, 512]",64,417.12,9.88,0.01,47.8,0.29,240,320,4,271.889,211.222,1022.667,35.0,15.222,6.778,1556.0,"[17, 60, 11, 17, 11]","[17, 60, 11, 17, 11]"
1,128,1,"[128, 512, 512]",64,9.88,27.71,0.03,47.8,0.31,240,320,4,271.0,211.0,2905.778,33.667,14.333,5.444,3435.778,"[45, 31, 31, 31, 45]","[45, 31, 31, 31, 45]"
1,128,2,"[128, 512, 512]",64,27.71,122.04,0.12,47.8,0.4,240,320,4,273.0,212.444,12847.667,34.778,15.333,6.778,13383.222,"[35, 4, 20, 20, 20]","[35, 4, 20, 20, 20]"
1,128,3,"[128, 512, 512]",64,122.04,384.37,0.38,47.8,0.66,240,320,4,271.889,208.889,41025.556,33.556,14.556,5.667,41554.444,"[52, 52, 1, 2, 52]","[52, 52, 1, 2, 52]"
2,256,0,"[256, 1024, 1024]",1024,384.37,269.12,0.26,52.55,0.55,240,320,4,548.444,409.111,28528.111,436.444,192.778,63.222,30114.889,"[121, 524, 7, 40, 428]","[121, 524, 7, 40, 428]"
2,256,1,"[256, 1024, 1024]",1024,269.12,336.46,0.33,52.55,0.62,240,320,4,547.333,408.556,35736.778,431.556,191.111,62.222,37315.333,"[582, 923, 582, 337, 337]","[582, 923, 582, 337, 337]"
2,256,2,"[256, 1024, 1024]",1024,336.46,1372.79,1.34,52.55,1.63,240,320,4,547.667,409.222,147702.778,431.556,191.667,62.111,149282.889,"[925, 334, 984, 334, 43]","[925, 334, 984, 334, 43]"
2,256,3,"[256, 1024, 1024]",1024,1372.79,2409.12,2.35,52.55,2.64,240,320,4,547.444,408.778,259662.778,435.556,190.778,62.333,261245.333,"[26, 26, 170, 313, 705]","[26, 26, 170, 313, 705]"
2,256,0,"[256, 1024, 1024]",512,2409.12,135.12,0.13,50.55,0.42,240,320,4,547.556,407.889,14325.222,219.889,96.111,32.778,15596.667,"[111, 101, 2, 450, 20]","[111, 101, 2, 450, 20]"
2,256,1,"[256, 1024, 1024]",512,135.12,202.46,0.2,50.55,0.48,240,320,4,547.222,408.556,21520.667,222.556,97.667,32.556,22796.667,"[284, 14, 77, 382, 364]","[284, 14, 77, 382, 364]"
2,256,2,"[256, 1024, 1024]",512,202.46,854.79,0.83,50.55,1.12,240,320,4,547.778,409.0,91760.333,222.0,97.111,32.444,93036.222,"[97, 275, 337, 97, 97]","[97, 275, 337, 97, 97]"
