timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
23-10-25--16:18,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.427,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,30.678,31.000,32.000,1.140,82.955,83.000,86.000,1.180,107.916,108.000,111.000,1.446,14675.006,14676.000,14677.000,1.854,438.848,438.000,442.000,2.081,181.139,181.000,185.000,1.592,61.996,62.000,65.000,1.009,15408.633,15409.000,15413.000,2.656,14844.924,14845.000,14849.000,2.295,1.789,0.207,1.772796,0.203426,0.202702,0.203035,"[542, 542, 539, 543, 541]","[539, 540, 539, 539, 539]","([539, 540, 539, 539, 539],)","[539, 540, 539, 539, 539]"
23-10-25--16:30,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.427,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,32.227,32.000,34.000,1.082,78.758,79.000,82.000,1.143,106.518,106.000,110.000,1.489,11633.642,11634.000,11637.000,2.438,435.636,435.000,439.000,2.101,180.157,180.000,184.000,1.539,62.546,62.000,66.000,1.053,12360.419,12360.000,12365.000,2.941,11802.706,11803.000,11807.000,2.730,1.789,0.207,1.772796,0.203426,0.202702,0.203035,"[542, 542, 539, 543, 541]","[539, 540, 539, 539, 539]","([539, 540, 539, 539, 539],)","[539, 540, 539, 539, 539]"
23-10-25--18:53,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.307,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,31.658,32.000,33.000,1.108,84.055,84.000,87.000,1.147,108.993,109.000,112.000,1.489,1313.997,1313.000,1317.000,1.845,433.472,432.000,436.000,1.991,182.123,182.000,186.000,1.586,63.034,63.000,66.000,1.040,2045.306,2045.000,2050.000,3.179,1486.025,1486.000,1490.000,2.226,1.789,0.234,1.772796,0.237986,0.213095,0.215253,"[542, 542, 539, 543, 541]","[539, 540, 540, 540, 540]","([539, 539, 540, 539, 539],)","[539, 539, 540, 539, 539]"
23-10-25--19:04,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.307,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,31.270,31.000,33.000,1.118,77.832,78.000,81.000,1.161,105.496,105.000,109.000,1.401,1060.857,1061.000,1064.000,1.438,428.311,427.000,431.000,2.027,179.116,179.000,183.000,1.547,61.510,61.000,65.000,1.050,1777.379,1778.000,1781.000,2.463,1227.856,1227.000,1233.000,2.407,1.789,0.234,1.772796,0.237986,0.213095,0.215253,"[542, 542, 539, 543, 541]","[539, 540, 540, 540, 540]","([539, 539, 540, 539, 539],)","[539, 539, 540, 539, 539]"
23-10-25--19:16,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.319,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,30.681,31.000,32.000,1.104,82.958,83.000,86.000,1.208,107.974,108.000,111.000,1.444,2631.124,2632.000,2633.000,1.866,432.628,437.000,443.000,11.217,181.181,181.000,185.000,1.598,62.010,62.000,65.000,1.041,3358.571,3363.000,3370.000,11.347,2801.107,2801.000,2804.000,1.900,1.789,0.288,1.772796,0.295335,0.286167,0.286295,"[542, 542, 539, 543, 541]","[541, 541, 541, 540, 541]","([541, 540, 541, 539, 541],)","[541, 540, 541, 539, 541]"
23-10-25--19:28,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.320,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,32.243,32.000,34.000,1.090,78.850,79.000,82.000,1.177,107.650,107.000,111.000,1.457,2120.492,2120.000,2124.000,1.493,429.406,434.000,440.000,11.218,180.243,180.000,184.000,1.609,62.004,62.000,65.000,1.002,2841.229,2846.000,2853.000,11.370,2290.141,2290.000,2294.000,2.153,1.789,0.288,1.772796,0.295335,0.286167,0.286295,"[542, 542, 539, 543, 541]","[541, 541, 541, 540, 541]","([541, 540, 541, 539, 541],)","[541, 540, 541, 539, 541]"
23-10-25--19:39,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.321,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,30.680,31.000,32.000,1.135,83.058,83.000,87.000,1.183,107.946,108.000,111.000,1.433,2721.517,2722.000,2724.000,1.833,420.802,420.000,434.000,7.976,181.279,181.000,185.000,1.644,62.016,62.000,65.000,1.020,3437.342,3436.000,3450.000,7.950,2891.485,2892.000,2894.000,1.709,1.789,0.301,1.772796,0.299615,0.292201,0.299422,"[542, 542, 539, 543, 541]","[541, 539, 540, 540, 541]","([541, 539, 540, 539, 541],)","[541, 539, 540, 539, 541]"
23-10-25--19:51,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,1024,4,0.001,200,200,55.531,0.321,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,32.256,32.000,34.000,1.128,78.387,78.000,82.000,1.034,106.486,106.000,110.000,1.466,2159.877,2160.000,2163.000,1.696,417.584,417.000,431.000,7.953,180.328,180.000,184.000,1.609,62.031,62.000,65.000,1.012,2868.426,2867.000,2881.000,8.126,2328.388,2328.000,2333.000,2.526,1.789,0.301,1.772796,0.299615,0.292201,0.299422,"[542, 542, 539, 543, 541]","[541, 539, 540, 540, 541]","([541, 539, 540, 539, 541],)","[541, 539, 540, 539, 541]"
23-10-25--20:03,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,1024,4,0.001,200,200,55.531,0.320,240.000,320.000,4.000,esp32-s2-saola-tflm-o3                  ,31.687,32.000,33.000,1.117,84.036,84.000,87.000,1.142,108.941,109.000,112.000,1.437,2820.895,2821.000,2822.000,1.547,427.716,432.000,436.000,7.676,182.300,182.000,186.000,1.642,62.987,63.000,66.000,0.999,3546.627,3549.000,3555.000,7.693,2992.816,2993.000,2995.000,1.634,1.789,0.299,1.772796,0.297875,0.292871,0.293334,"[542, 542, 539, 543, 541]","[539, 542, 542, 542, 539]","([539, 542, 541, 541, 539],)","[539, 542, 541, 541, 539]"
23-10-25--20:14,_seed0_grid1200_M3232_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,1024,4,0.001,200,200,55.531,0.321,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram       ,32.241,32.000,34.000,1.108,80.034,80.000,84.000,1.226,106.471,106.000,110.000,1.411,2226.622,2226.000,2230.000,1.775,424.207,428.000,433.000,7.758,180.329,180.000,184.000,1.618,62.007,62.000,65.000,0.978,2943.427,2947.000,2952.000,7.730,2395.095,2395.000,2399.000,2.335,1.789,0.299,1.772796,0.297875,0.292871,0.293334,"[542, 542, 539, 543, 541]","[539, 542, 542, 542, 539]","([539, 542, 541, 541, 539],)","[539, 542, 541, 541, 539]"
