timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
22-10-25--12:26,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,0,32,32 128 128,1024,4,0.001,200,200,57.500,1.116,133.000,256.000,2.000,pico-o3                                 ,721.474,725.000,734.000,10.063,1116.765,1118.000,1126.000,6.811,1759.338,1761.000,1771.000,8.358,249999.241,249999.000,250086.000,52.157,1037.365,1036.000,1052.000,9.797,523.666,520.000,540.000,10.566,79.896,80.000,87.000,4.653,253398.663,253398.000,253493.000,55.498,251838.627,251838.000,251925.000,52.670,1.789,0.219,1.772796,0.212973,0.210062,0.210062,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","([539, 539, 540, 539, 539],)","[539, 539, 540, 539, 539]"
22-10-25--12:30,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,0,32,32 128 128,1024,4,0.001,200,200,57.500,1.116,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.219,1.772796,0.212973,0.210062,0.000000,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","([539, 539, 540, 539, 539],)","[0, 0, 0, 0, 0]"
22-10-25--12:43,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,32,32 128 128,1024,4,0.001,200,200,57.500,0.179,133.000,256.000,2.000,pico-o3                                 ,720.473,723.000,733.000,9.791,1115.060,1117.000,1125.000,7.118,1757.706,1759.000,1769.000,8.313,17843.156,17844.000,17880.000,22.862,987.057,984.000,1029.000,23.906,524.781,524.000,540.000,10.545,79.740,79.000,86.000,4.359,21190.467,21192.000,21259.000,42.085,19680.540,19680.000,19722.000,24.821,1.789,1.654,1.772796,1.649057,1.643385,1.643805,"[542, 542, 539, 543, 541]","[541, 542, 539, 542, 541]","([541, 542, 539, 542, 541],)","[541, 542, 539, 542, 541]"
22-10-25--12:56,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,32,32 128 128,1024,4,0.001,200,200,57.500,0.180,133.000,256.000,2.000,pico-o3-modelinram                      ,715.309,718.000,728.000,9.994,1097.054,1098.000,1105.000,5.782,1749.948,1751.000,1761.000,8.009,10653.007,10655.000,10663.000,9.023,961.643,959.000,1003.000,22.731,510.242,507.000,525.000,9.379,76.687,77.000,83.000,4.091,13937.169,13936.000,13983.000,26.916,12479.556,12482.000,12497.000,12.994,1.789,1.654,1.772796,1.649057,1.643385,1.643805,"[542, 542, 539, 543, 541]","[541, 542, 539, 542, 541]","([541, 542, 539, 542, 541],)","[541, 542, 539, 542, 541]"
22-10-25--13:09,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,2,32,32 128 128,1024,4,0.001,200,200,57.500,0.281,133.000,256.000,2.000,pico-o3                                 ,721.354,725.000,735.000,10.289,1116.725,1118.000,1127.000,7.054,1759.160,1761.000,1771.000,8.376,42377.178,42378.000,42420.000,26.124,984.352,983.000,1023.000,20.894,524.761,521.000,541.000,10.625,79.721,79.000,87.000,4.616,45724.259,45724.000,45787.050,37.888,44215.948,44217.000,44260.000,27.642,1.789,1.768,1.772796,1.750616,1.750021,1.750618,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
22-10-25--13:12,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,2,32,32 128 128,1024,4,0.001,200,200,57.500,0.281,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.768,1.772796,1.750616,1.750021,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
22-10-25--13:26,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,3,32,32 128 128,1024,4,0.001,200,200,57.500,0.300,133.000,256.000,2.000,pico-o3                                 ,720.428,723.000,733.000,9.832,1115.566,1117.000,1125.000,6.891,1757.791,1759.000,1769.000,8.113,46592.252,46593.000,46634.000,26.604,977.205,975.000,1017.000,20.496,524.341,521.000,540.000,10.082,79.625,79.000,87.000,4.453,49929.833,49929.000,49990.000,35.964,48429.710,48431.000,48473.000,28.151,1.789,1.775,1.772796,1.762098,1.761019,1.760649,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
22-10-25--13:29,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,3,32,32 128 128,1024,4,0.001,200,200,57.500,0.301,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.775,1.772796,1.762098,1.761019,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
22-10-25--13:42,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,0,1024,1,8,128 512 512,1024,4,0.001,200,200,57.500,0.370,133.000,256.000,2.000,pico-o3                                 ,721.468,724.000,734.000,9.811,1116.801,1118.000,1126.000,6.611,1758.515,1760.000,1770.000,8.381,64519.991,64521.000,64572.000,32.098,984.798,983.000,1020.000,19.695,525.769,522.000,541.000,10.332,80.898,81.000,89.000,4.471,67868.809,67871.000,67938.000,43.769,66359.385,66361.000,66411.000,32.764,1.789,1.774,1.772796,1.752303,1.752280,1.752280,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[542, 542, 539, 543, 541]"
22-10-25--13:45,_seed0_grid1200_M3232_Mbar8_30000_ep200,64,0,1,1024,1,8,128 512 512,1024,4,0.001,200,200,57.500,0.370,133.000,256.000,2.000,pico-o3-modelinram                      ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.774,1.772796,1.752303,1.752280,0.000000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","([542, 542, 539, 543, 541],)","[0, 0, 0, 0, 0]"
