timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
24-10-25--17:22,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.664,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.279,1.000,2.000,0.449,10.115,10.000,11.000,0.326,10.648,11.000,11.000,0.502,7540.056,7537.000,7551.000,5.646,101.397,101.000,102.000,0.569,105.079,105.000,107.000,0.920,56.170,56.000,58.000,0.712,7757.924,7755.000,7770.000,6.125,7606.871,7604.000,7619.000,5.908,5.039,0.278,5.010115,0.258982,0.258637,0.258385,"[2162, 2162, 2174, 2167, 2160]","[2103, 2103, 2103, 2103, 2103]","([2103, 2103, 2103, 2103, 2103],)","[2103, 2103, 2103, 2103, 2103]"
24-10-25--17:26,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,0,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.665,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.267,1.000,2.000,0.442,10.108,10.000,11.000,0.319,10.624,11.000,11.000,0.507,7540.051,7537.000,7551.000,5.627,101.398,101.000,102.000,0.576,105.082,105.000,107.000,0.914,56.156,56.000,58.000,0.713,7757.901,7755.000,7770.000,6.107,7606.826,7604.000,7618.000,5.864,5.039,0.278,5.010115,0.258982,0.258637,0.258385,"[2162, 2162, 2174, 2167, 2160]","[2103, 2103, 2103, 2103, 2103]","([2103, 2103, 2103, 2103, 2103],)","[2103, 2103, 2103, 2103, 2103]"
24-10-25--17:30,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.181,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.260,1.000,2.000,0.439,10.115,10.000,11.000,0.327,10.636,11.000,11.000,0.502,736.361,733.000,747.000,5.648,101.313,101.000,102.000,0.525,104.942,105.000,106.000,0.859,56.143,56.000,58.000,0.708,953.989,951.000,966.000,6.212,803.138,800.000,815.000,5.912,5.039,0.478,5.010115,0.461806,0.462309,0.462308,"[2162, 2162, 2174, 2167, 2160]","[2167, 2167, 2167, 2167, 2167]","([2167, 2167, 2167, 2167, 2167],)","[2167, 2167, 2167, 2167, 2167]"
24-10-25--17:34,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,1,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.181,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.265,1.000,2.000,0.441,10.116,10.000,11.000,0.331,10.639,11.000,11.000,0.491,736.373,733.000,748.000,5.677,101.315,101.000,102.000,0.522,104.941,105.000,106.000,0.858,56.162,56.000,58.000,0.694,954.005,951.000,966.000,6.249,803.170,800.000,815.000,5.950,5.039,0.478,5.010115,0.461806,0.462309,0.462308,"[2162, 2162, 2174, 2167, 2160]","[2167, 2167, 2167, 2167, 2167]","([2167, 2167, 2167, 2167, 2167],)","[2167, 2167, 2167, 2167, 2167]"
24-10-25--17:38,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.229,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.261,1.000,2.000,0.439,10.100,10.000,11.000,0.313,10.649,11.000,11.000,0.502,1388.607,1386.000,1400.000,6.614,101.337,101.000,102.000,0.535,105.455,105.000,107.000,1.124,56.159,56.000,58.000,0.704,1606.750,1604.000,1619.000,7.363,1455.405,1454.000,1467.000,6.847,5.039,0.723,5.010115,0.699133,0.664528,0.663633,"[2162, 2162, 2174, 2167, 2160]","[2166, 2171, 2171, 2169, 2169]","([2166, 2171, 2171, 2168, 2169],)","[2166, 2171, 2171, 2168, 2169]"
24-10-25--17:42,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,2,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.229,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.276,1.000,2.000,0.447,10.108,10.000,11.000,0.323,10.633,11.000,11.000,0.506,1388.630,1386.000,1400.000,6.663,101.322,101.000,102.000,0.529,105.451,105.000,107.000,1.119,56.174,56.000,58.000,0.706,1606.777,1604.000,1620.000,7.401,1455.427,1454.000,1468.000,6.887,5.039,0.723,5.010115,0.699133,0.664528,0.663633,"[2162, 2162, 2174, 2167, 2160]","[2166, 2171, 2171, 2169, 2169]","([2166, 2171, 2171, 2168, 2169],)","[2166, 2171, 2171, 2168, 2169]"
24-10-25--17:46,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.230,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.266,1.000,2.000,0.442,10.110,10.000,11.000,0.324,10.646,11.000,11.000,0.503,1396.634,1396.000,1408.000,6.308,101.282,101.000,102.000,0.517,105.349,105.000,107.000,0.995,56.185,56.000,58.000,0.714,1614.634,1613.000,1627.000,6.996,1463.457,1463.000,1475.000,6.525,5.039,0.673,5.010115,0.651632,0.657943,0.659055,"[2162, 2162, 2174, 2167, 2160]","[2166, 2166, 2166, 2166, 2166]","([2166, 2166, 2166, 2166, 2166],)","[2166, 2166, 2166, 2166, 2166]"
24-10-25--17:50,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,3,32,4 16 16   ,4096,4,0.001,200,200,147.395,0.230,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.270,1.000,2.000,0.444,10.114,10.000,11.000,0.332,10.661,11.000,11.000,0.499,1396.628,1396.000,1408.000,6.296,101.287,101.000,102.000,0.511,105.335,105.000,107.000,0.987,56.172,56.000,58.000,0.717,1614.625,1613.000,1628.000,7.004,1463.453,1463.000,1475.000,6.542,5.039,0.673,5.010115,0.651632,0.657943,0.659055,"[2162, 2162, 2174, 2167, 2160]","[2166, 2166, 2166, 2166, 2166]","([2166, 2166, 2166, 2166, 2166],)","[2166, 2166, 2166, 2166, 2166]"
24-10-25--17:54,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,4096,4,0.001,200,200,147.395,0.230,400.000,512.000,2.000,nucleo-h753zi-o3                        ,1.262,1.000,2.000,0.440,10.110,10.000,11.000,0.324,10.622,11.000,11.000,0.513,1405.211,1402.000,1416.000,5.677,101.310,101.000,102.000,0.518,105.258,105.000,107.000,1.159,56.167,56.000,58.000,0.716,1623.141,1621.000,1635.000,6.314,1471.990,1469.000,1484.000,5.933,5.039,0.646,5.010115,0.647208,0.611863,0.619328,"[2162, 2162, 2174, 2167, 2160]","[2166, 2166, 2166, 2167, 2166]","([2166, 2166, 2166, 2166, 2166],)","[2166, 2166, 2166, 2166, 2166]"
24-10-25--17:58,_seed0_grid1200_M6464_Mbar1_30000_ep200,64,0,0,128,1,8,16 64 64  ,4096,4,0.001,200,200,147.395,0.230,400.000,512.000,2.000,nucleo-h753zi-o3-modelinram             ,1.268,1.000,2.000,0.443,10.116,10.000,11.000,0.331,10.639,11.000,11.000,0.504,1405.217,1402.000,1416.000,5.686,101.324,101.000,102.000,0.530,105.259,105.000,107.000,1.159,56.156,56.000,58.000,0.717,1623.179,1621.000,1635.000,6.367,1472.007,1469.000,1484.000,5.961,5.039,0.646,5.010115,0.647208,0.611863,0.619328,"[2162, 2162, 2174, 2167, 2160]","[2166, 2166, 2166, 2167, 2166]","([2166, 2166, 2166, 2166, 2166],)","[2166, 2166, 2166, 2166, 2166]"
