timestamp,end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_quant,perc50_quant,perc95_quant,std_quant,mean_normquant,perc50_normquant,perc95_normquant,std_normquant,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
25-10-25--00:30,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,0,32,16 64 64  ,4096,4,0.001,200,200,0.000,-1735424.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,0.306,5.061635,0.301714,0.296022,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2103, 2104, 2102, 2101, 2168]","([2102, 2104, 2101, 2101, 2104],)","[0, 0, 0, 0, 0]"
25-10-25--00:54,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,1,32,16 64 64  ,4096,4,0.001,200,200,123.703,0.226,180.000,128.000,0.500,nucleo-f446ze-o3                        ,29.437,29.000,30.000,0.656,103.064,103.000,104.000,0.766,121.271,121.000,122.000,0.815,9573.209,9563.000,9643.000,37.425,260.283,260.000,261.000,0.700,305.671,306.000,306.000,0.742,229.792,230.000,233.000,1.101,10271.307,10262.000,10343.000,36.668,9923.916,9915.000,9995.000,36.693,5.052,2.411,5.061635,2.356740,2.307242,0.158291,"[2172, 1901, 2170, 2173, 2168]","[2172, 2040, 2170, 2173, 2168]","([2172, 2040, 2169, 2172, 2167],)","[2109, 1970, 2085, 2163, 1780]"
25-10-25--01:16,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,2,32,16 64 64  ,4096,4,0.001,200,200,123.703,0.416,180.000,128.000,0.500,nucleo-f446ze-o3                        ,26.275,26.000,27.000,0.448,113.692,114.000,114.000,0.499,130.045,130.000,131.000,0.500,29838.473,29835.000,29875.000,18.491,260.526,260.000,263.000,0.862,305.567,306.000,306.000,0.496,230.483,230.000,235.000,1.884,30544.528,30541.000,30581.000,18.694,30198.996,30195.000,30235.000,18.781,5.052,3.101,5.061635,3.006469,3.035047,3.033365,"[2172, 1901, 2170, 2173, 2168]","[2172, 1974, 2170, 2173, 2168]","([2172, 1974, 2170, 2173, 2168],)","[2172, 1974, 2170, 2173, 2168]"
25-10-25--01:38,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,3,32,16 64 64  ,4096,4,0.001,200,200,123.703,0.422,180.000,128.000,0.500,nucleo-f446ze-o3                        ,26.296,26.000,27.000,0.456,113.722,114.000,114.000,0.493,130.090,130.000,131.000,0.502,30295.729,30293.000,30325.000,15.638,260.297,260.000,261.000,0.457,305.829,306.000,308.000,0.892,229.436,229.000,230.000,0.536,31001.867,30999.000,31032.000,16.027,30655.250,30653.000,30685.000,15.741,5.052,3.963,5.061635,3.914928,3.904871,3.900949,"[2172, 1901, 2170, 2173, 2168]","[2172, 2035, 2169, 2173, 2168]","([2172, 2035, 2169, 2173, 2168],)","[2172, 2035, 2169, 2173, 2168]"
25-10-25--02:00,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,0,0,512,1,8,64 256 256,4096,4,0.001,200,200,123.703,0.438,180.000,128.000,0.500,nucleo-f446ze-o3                        ,26.271,26.000,27.000,0.444,113.693,114.000,114.000,0.503,130.033,130.000,131.000,0.491,32238.199,32236.000,32266.000,15.550,260.540,260.000,263.000,0.867,305.559,306.000,306.000,0.497,230.511,230.000,235.000,1.873,32944.260,32942.000,32972.000,15.814,32598.741,32597.000,32627.000,15.943,5.052,2.889,5.061635,2.843989,2.855351,2.854225,"[2172, 1901, 2170, 2173, 2168]","[2171, 1907, 2170, 2173, 2168]","([2171, 1907, 2170, 2173, 2168],)","[2171, 1907, 2170, 2173, 2168]"
25-10-25--02:01,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,2,8,64 256 256,4096,4,0.001,200,200,0.000,-745888.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,4.659,5.061635,4.658250,4.650817,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 1909, 2169, 2173, 2168]","([2172, 1909, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
25-10-25--02:03,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,3,8,64 256 256,4096,4,0.001,200,200,0.000,-819056.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,4.785,5.061635,4.823666,4.809608,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 1912, 2170, 2173, 2168]","([2172, 1912, 2170, 2173, 2168],)","[0, 0, 0, 0, 0]"
25-10-25--02:04,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,1,1,512 2048 2048,4096,4,0.001,200,200,0.000,-2012376.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,4.001,5.061635,4.024894,4.028006,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2171, 1977, 2170, 2173, 2168]","([2171, 1977, 2170, 2173, 2168],)","[0, 0, 0, 0, 0]"
25-10-25--02:06,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,2,1,512 2048 2048,4096,4,0.001,200,200,0.000,-9410208.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,4.868,5.061635,4.882804,4.877005,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 1902, 2169, 2173, 2168]","([2172, 1902, 2169, 2173, 2168],)","[0, 0, 0, 0, 0]"
25-10-25--02:08,_seed0_grid1200_M6464_Mbar4_30000_ep200,64,2,0,512,3,1,512 2048 2048,4096,4,0.001,200,200,0.000,-13662320.000,180.000,128.000,0.500,nucleo-f446ze-o3                        ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.052,5.001,5.061635,5.005285,5.000733,0.000000,"[2172, 1901, 2170, 2173, 2168]","[2172, 1912, 2170, 2173, 2168]","([2172, 1912, 2170, 2173, 2168],)","[0, 0, 0, 0, 0]"
