end_folder_Training_Size_dd_epochs,num_layers,R,micro_base,modelinram,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,latency_ms,drop_opt_to_fp32_pct,drop_fp32_to_int8_pct,drop_int8_to_mcu_pct
_seed0_grid1200_M3232_Mbar28_30000_ep200,3,32,nucleo-h753zi-o3,1,1.773,1.772,1.771,1.771,15.582,0.07,0.01,-0.0
_seed0_grid1200_M3232_Mbar8_30000_ep200,3,8,nucleo-h753zi-o3,1,1.773,1.769,1.769,1.769,13.613,0.19,0.01,0.0
_seed0_grid1200_M3232_Mbar4_30000_ep200,3,8,nucleo-h753zi-o3,0,1.773,1.766,1.766,1.766,5.346,0.38,-0.01,0.01
_seed0_grid1200_M3232_Mbar8_30000_ep200,3,32,nucleo-h753zi-o3,0,1.773,1.762,1.761,1.761,2.765,0.6,0.06,0.02
_seed0_grid1200_M3232_Mbar8_30000_ep200,2,32,nucleo-h753zi-o3,1,1.773,1.751,1.75,1.751,2.526,1.25,0.03,-0.03
_seed0_grid1200_M3232_Mbar4_30000_ep200,3,32,nucleo-h753zi-o3,0,1.773,1.744,1.745,1.744,1.287,1.64,-0.05,0.01
_seed0_grid1200_M3232_Mbar4_30000_ep200,2,32,nucleo-h753zi-o3,0,1.773,1.659,1.649,1.649,1.221,6.4,0.61,-0.02
_seed0_grid1200_M3232_Mbar8_30000_ep200,1,32,nucleo-h753zi-o3,0,1.773,1.649,1.643,1.644,1.132,6.98,0.34,-0.03
_seed0_grid1200_M3232_Mbar4_30000_ep200,1,32,nucleo-h753zi-o3,0,1.773,1.374,1.369,1.369,0.532,22.47,0.44,-0.01
_seed0_grid1200_M3232_Mbar1_30000_ep200,3,32,nucleo-h753zi-o3,0,1.773,0.3,0.292,0.299,0.403,83.09,2.5,-2.47
_seed0_grid1200_M3232_Mbar1_30000_ep200,2,32,nucleo-h753zi-o3,0,1.773,0.295,0.286,0.286,0.395,83.37,2.92,-0.04
_seed0_grid1200_M3232_Mbar1_30000_ep200,1,32,nucleo-h753zi-o3,1,1.773,0.238,0.213,0.215,0.217,86.58,10.46,-1.01
